#Date/Time of Update: 2017-03-25 2:29:25 AM,#Game Date,#Game Teams,#Player ID,#LastName,#FirstName,#Position,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtMade,#Fg3PtAtt,#Fg3PtMade,#FtAtt,#FtMade
,2017-03-24,SAC@GSW,9372,Galloway,Langston,PG,103,SAC,Sacramento,Kings,5,1,3,2,0,0
,2017-03-24,DEN@IND,9250,George,Paul,SF,87,IND,Indiana,Pacers,13,6,5,4,5,3
,2017-03-24,BRO@WAS,9429,Goodwin,Archie,PG,84,BRO,Brooklyn,Nets,3,3,0,0,5,4
,2017-03-24,DET@ORL,9406,Gordon,Aaron,PF,95,ORL,Orlando,Magic,9,8,2,0,0,0
,2017-03-24,NOP@HOU,9352,Gordon,Eric,SG,109,HOU,Houston,Rockets,5,3,5,2,3,2
,2017-03-24,BRO@WAS,9519,Gortat,Marcin,C,94,WAS,Washington,Wizards,8,4,0,0,0,0
,2017-03-24,PHI@CHI,9374,Grant,Jerian,PG,89,CHI,Chicago,Bulls,0,0,0,0,0,0
,2017-03-24,SAC@GSW,9228,Green,Draymond,PF,101,GSW,Golden State,Warriors,8,5,9,3,5,4
,2017-03-24,PHX@BOS,9316,Green,Gerald,SG,82,BOS,Boston,Celtics,1,0,4,4,3,3
,2017-03-24,BRO@WAS,9658,Hamilton,Justin,C,84,BRO,Brooklyn,Nets,8,5,3,2,6,4
,2017-03-24,ATL@MIL,9087,Hardaway Jr.,Tim,SG,91,ATL,Atlanta,Hawks,10,5,7,3,6,6
,2017-03-24,NOP@HOU,9232,Harden,James,SG,109,HOU,Houston,Rockets,12,7,12,5,11,9
,2017-03-24,DEN@IND,9191,Harris,Gary,SG,99,DEN,Denver,Nuggets,1,1,2,2,2,2
,2017-03-24,DET@ORL,9212,Harris,Tobias,PF,88,DET,Detroit,Pistons,5,2,3,1,4,4
,2017-03-24,ATL@MIL,9132,Hawes,Spencer,PF,90,MIL,Milwaukee,Bucks,1,1,1,0,0,0
,2017-03-24,PHI@CHI,9450,Henderson,Gerald,SG,85,PHI,Philadelphia,76ers,4,2,5,3,2,1
,2017-03-24,DEN@IND,10135,Hernangomez,Juancho,F,99,DEN,Denver,Nuggets,0,0,0,0,0,0
,2017-03-24,DET@ORL,9409,Hezonja,Mario,SF,95,ORL,Orlando,Magic,4,2,2,0,3,2
,2017-03-24,SAC@GSW,10136,Hield,Buddy,G,103,SAC,Sacramento,Kings,5,3,9,4,4,4
,2017-03-24,NOP@HOU,9521,Hilario,Nene,PF,109,HOU,Houston,Rockets,10,6,0,0,0,0
,2017-03-24,NOP@HOU,9251,Hill,Solomon,SF,110,NOP,New Orleans,Pelicans,1,0,7,3,0,0
,2017-03-24,DET@ORL,9215,Hilliard,Darrun,SG,88,DET,Detroit,Pistons,1,0,0,0,0,0
,2017-03-24,NOP@HOU,9355,Holiday,Jrue,PG,110,NOP,New Orleans,Pelicans,4,3,8,4,1,0
,2017-03-24,BRO@WAS,9116,Hollis-Jefferson,Rondae,SF,84,BRO,Brooklyn,Nets,13,9,0,0,1,1
,2017-03-24,PHI@CHI,9422,Holmes,Richaun,PF,85,PHI,Philadelphia,76ers,8,4,2,0,0,0
,2017-03-24,PHX@BOS,9082,Horford,Al,C,82,BOS,Boston,Celtics,9,7,1,0,2,1
,2017-03-24,ATL@MIL,9236,Howard,Dwight,C,91,ATL,Atlanta,Hawks,11,7,0,0,8,6
